amfi_code,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,raw_score,fund_score
120505,32.801599480386166,1.1801011976606495,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,ICICI Pru Midcap Fund - Regular - Growth,1.0,5.0,3.0,15.0,25.0,6.9,100.0
148567,30.949920362874206,1.4482911703262604,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,Mirae Asset Large Cap Fund - Regular - Growth,5.0,1.0,7.0,23.0,8.0,7.3999999999999995,98.29205807002562
120843,30.883325525154603,1.3067439695428413,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,Kotak Flexicap Fund - Regular - Growth,6.0,2.0,5.0,22.0,13.0,7.8999999999999995,96.58411614005124
100033,30.099703552874523,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0,7.0,6.0,17.0,20.0,9.600000000000001,90.77711357813834
148569,31.924485848158724,1.2349300257743292,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,Mirae Asset Tax Saver Fund - Regular - Growth,4.0,3.0,4.0,36.5,21.0,10.325,88.30059777967548
119598,32.398083984645545,0.9453082575156093,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,SBI Small Cap Fund - Regular Plan - Growth,2.0,14.0,1.0,21.0,36.0,11.049999999999999,85.82408198121264
120504,23.277447532730513,1.0265242847993006,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,ICICI Pru Bluechip Fund - Direct - Growth,13.0,10.0,13.0,12.0,12.0,12.0,82.57899231426131
119552,21.50802178549933,0.953279496866011,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,SBI Bluechip Fund - Direct Plan - Growth,15.0,12.0,15.0,4.0,11.0,12.2,81.89581554227155
149324,32.262107528416564,0.949795824661604,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,DSP Small Cap Fund - Regular - Growth,3.0,13.0,2.0,26.5,37.0,12.225000000000001,81.81041844577284
119551,25.784920849464086,1.2082665673727178,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,SBI Bluechip Fund - Regular Plan - Growth,10.0,4.0,10.0,30.5,17.0,12.274999999999999,81.6396242527754
